,created_at,user,user_followers_count,text,lang,Location,retweet_count,favorite_count
34,2016-07-08 09:09:33,tachyeonz,379,"60+ Free Books on Big Data, Data Science, Data Mining, Machine Learning, Python, R, and more https://t.co/80DFwQoAKR",en,,3,2
35,2016-07-08 09:09:22,757LivePK,391,Machine learning could help revolutionize early Alzheimer's diagnosis│Yahoo News https://t.co/6R3g8e77QA,en,,0,0
36,2016-07-08 09:09:11,twitmyreview,366,PredictionIO - Open Source Machine Learning Server via Instapaper https://t.co/9dH1lvISWI,en,,0,0
37,2016-07-08 09:08:36,chi2innovations,799,RT @KirkDBorne: How Apache Spark and @h2oai can help you tap #MachineLearning: https://t.co/mQDuWntDzp #AI #DataScience #BigData by @noyesk,en,,16,0
38,2016-07-08 09:08:34,niazjalal,135,The Complete Machine Learning Bundle | Popular Science Shop https://t.co/Yq8TU5i6Zq,en,,0,1
39,2016-07-08 09:08:05,ElverBot,252,"RT @Iam515: This is why your fears about #artificialintelligence are wrong
#AI
https://t.co/6g9URL8BO6",en,,1,0
40,2016-07-08 09:07:39,AEFOL,7191,"@Google compra @Moodstocks, compañía especializada en tecnología de `machine learning´ https://t.co/xHFrsAzWXZ",es,,0,0
41,2016-07-08 09:07:10,HetanShah,3249,Google’s cars use machine learning to understand how to share road with cyclists https://t.co/V9eypOHfrn,en,,1,1
42,2016-07-08 09:07:09,Iam515,1194,"This is why your fears about #artificialintelligence are wrong
#AI
https://t.co/6g9URL8BO6",en,,1,0
43,2016-07-08 09:06:49,757LiveZW,257,Machine learning could help revolutionize early Alzheimer's diagnosis│Yahoo News https://t.co/wXUiBvYTNb,en,,0,0
44,2016-07-08 09:05:44,CloudExpo,68653,[slides] Machine Learning &amp; Cognitive Fingerprinting ▸ https://t.co/n6cYyAExbH @SparkCognition #IoT #M2M #ML #API #Cloud #CognitiveComputing,en,,2,0
45,2016-07-08 09:04:34,adatos1,11,"Adatos' mission is to democratise leading-edge AI technology, here are the key trends in AI. 

https://t.co/XhgQWCCQgz",en,,0,0
46,2016-07-08 09:04:13,Synoptictech,4049,@Darktrace bolsters machine learning-based security tools to automatically attack threats  https://t.co/RZUqx4bsNA #ai #technology,en,,0,1
47,2016-07-08 09:04:10,Eagle_LabsCambs,307,RT @wavelengthlaw: Had an amazing session on Machine Learning &amp; our legal solutions today with our very own @J10_01B #newlaw #legaltech htt…,en,,3,0
48,2016-07-08 09:03:12,KimmyRox10,64,How to Blend Machine Learning Into Your #Marketing Strategy https://t.co/GN33ITtlAD via @shaylaprice @SessionCam #ecommerce,en,,0,0
49,2016-07-08 09:03:07,Faraday_AI,74,RT @Bots_news: #AI: Can AI and machine learning transform the entertainment industry? #machinelearning https://t.co/D8haqo4AJ8 https://t.co…,en,,3,0
50,2016-07-08 09:03:07,BVLSingler,1071,RT @Bots_news: #AI: Can AI and machine learning transform the entertainment industry? #machinelearning https://t.co/D8haqo4AJ8 https://t.co…,en,,3,0
51,2016-07-08 09:02:25,brainchatbot,2248,"RT @cruisebruise: https://t.co/z29qOAY890 #travel #cruise UPMC and IBM to Apply Artificial Intelligence, Machine Learning to Tran... https:…",en,,1,0
52,2016-07-08 09:02:18,aiinsights,29,Hatstand Teams Up SQream To Use Machine Learning - sqream_hatstand_machine_learning Global financial services c... https://t.co/knUNOjeYdH,en,,0,0
53,2016-07-08 09:02:16,thesecbureau,147,RT @Bots_news: #AI: Can AI and machine learning transform the entertainment industry? #machinelearning https://t.co/D8haqo4AJ8 https://t.co…,en,,3,0
